state,population 
.Alabama,4863525.00
.Alaska,741456.00
.Arizona,6941072.00
.Arkansas,2989918.00
.California,39167117.00
.Colorado,5539215.00
.Connecticut,3578141.00
.Delaware,948921.00
.District of Columbia,685815.00
.Florida,20613477.00
.Georgia,10301890.00
.Hawaii,1427559.00
.Idaho,1682380.00
.Illinois,12820527.00
.Indiana,6634304.00
.Iowa,3131371.00
.Kansas,2910844.00
.Kentucky,4438182.00
.Louisiana,4678135.00
.Maine,1331317.00
.Maryland,6003323.00
.Massachusetts,6823608.00
.Michigan,9950571.00
.Minnesota,5522744.00
.Mississippi,2987938.00
.Missouri,6087135.00
.Montana,1040859.00
.Nebraska,1905616.00
.Nevada,2917563.00
.New Hampshire,1342307.00
.New Jersey,8870827.00
.New Mexico,2091630.00
.New York,19633428.00
.North Carolina,10154788.00
.North Dakota,754434.00
.Ohio,11634370.00
.Oklahoma,3926331.00
.Oregon,4089976.00
.Pennsylvania,12782275.00
.Rhode Island,1056770.00
.South Carolina,4957968.00
.South Dakota,862996.00
.Tennessee,6646010.00
.Texas,27914410.00
.Utah,3041868.00
.Vermont,623657.00
.Virginia,8410106.00
.Washington,7294771.00
.West Virginia,1831023.00
.Wisconsin,5772628.00
.Wyoming,584215.00
